cohort_month,months_since_first_order,cohort_size,retained_customers,retention_rate
2025-03,2,200,8,0.04
2025-03,3,200,11,0.055
2025-03,4,200,11,0.055
2025-03,5,200,9,0.045
2025-03,6,200,9,0.045
2025-03,7,200,8,0.04
2025-03,8,200,18,0.09
2025-03,9,200,14,0.07
2025-04,0,208,208,1.0
2025-04,1,208,6,0.0288
2025-04,2,208,12,0.0577
2025-04,3,208,13,0.0625
2025-04,4,208,12,0.0577
2025-04,5,208,10,0.0481
2025-04,6,208,13,0.0625
2025-04,7,208,19,0.0913
2025-04,8,208,15,0.0721
2025-05,0,235,235,1.0
2025-05,1,235,14,0.0596
2025-05,2,235,21,0.0894
2025-05,3,235,12,0.0511
2025-05,4,235,17,0.0723
2025-05,5,235,9,0.0383
2025-05,6,235,13,0.0553
2025-05,7,235,17,0.0723
2025-06,0,268,268,1.0
2025-06,1,268,15,0.056
2025-06,2,268,19,0.0709
2025-06,3,268,10,0.0373
2025-06,4,268,20,0.0746
2025-06,5,268,19,0.0709
2025-06,6,268,21,0.0784
2025-07,0,313,313,1.0
2025-07,1,313,29,0.0927
2025-07,2,313,22,0.0703
2025-07,3,313,34,0.1086
2025-07,4,313,21,0.0671
2025-07,5,313,27,0.0863
2025-08,0,316,316,1.0
2025-08,1,316,23,0.0728
2025-08,2,316,36,0.1139
2025-08,3,316,21,0.0665
2025-08,4,316,34,0.1076
2025-09,0,345,345,1.0
2025-09,1,345,38,0.1101
2025-09,2,345,33,0.0957
2025-09,3,345,31,0.0899
2025-10,0,441,441,1.0
2025-10,1,441,66,0.1497
2025-10,2,441,64,0.1451
2025-11,0,505,505,1.0
2025-11,1,505,96,0.1901
2025-12,0,463,463,1.0
