customer_id,acquisition_channel,region,recency_days,frequency,monetary_value,customer_aov,first_order_date,last_order_date,recency_score,frequency_score,monetary_score,rfm_segment,churned_90d
C007045,Affiliate,North,132,4,1124.56,281.14,2024-05-19,2025-08-22,3,5,5,Loyal Customers,1
C006169,Email,South,157,3,1105.25,368.42,2024-06-18,2025-07-28,3,5,5,Loyal Customers,1
C000905,Affiliate,North,153,4,1079.06,269.76,2024-10-08,2025-08-01,3,5,5,Loyal Customers,1
C006791,Social,South,183,2,1046.96,523.48,2025-05-01,2025-07-02,2,5,5,At Risk,1
C005933,Affiliate,South,43,4,1018.06,254.51,2025-09-28,2025-11-19,4,5,5,Champions,0
C000834,Social,Central,32,3,1013.61,337.87,2025-06-21,2025-11-30,5,5,5,Champions,0
C003135,Direct,East,80,2,1003.74,501.87,2025-09-02,2025-10-13,4,5,5,Champions,0
C001946,Affiliate,East,4,3,1002.31,334.1,2025-11-19,2025-12-28,5,5,5,Champions,0
C004992,Organic Search,North,49,3,999.94,333.31,2025-10-18,2025-11-13,4,5,5,Champions,0
C001572,Email,North,22,3,993.97,331.32,2025-09-30,2025-12-10,5,5,5,Champions,0
C003820,Affiliate,North,153,2,993.26,496.63,2025-06-16,2025-08-01,3,5,5,Loyal Customers,1
C003502,Affiliate,North,32,4,990.49,247.62,2025-10-12,2025-11-30,5,5,5,Champions,0
C004373,Email,North,454,2,987.88,493.94,2024-09-28,2024-10-04,1,5,5,At Risk,1
C002360,Direct,West,258,1,981.61,981.61,2025-04-18,2025-04-18,2,4,5,At Risk,1
C004710,Affiliate,South,300,4,979.02,244.75,2024-08-20,2025-03-07,1,5,5,At Risk,1
C006182,Organic Search,North,126,3,978.13,326.04,2025-01-28,2025-08-28,3,5,5,Loyal Customers,1
C008602,Social,West,18,3,972.22,324.07,2025-12-11,2025-12-14,5,5,5,Champions,0
C009847,Affiliate,North,85,4,966.66,241.66,2024-02-14,2025-10-08,3,5,5,Loyal Customers,0
C006846,Email,West,6,3,957.6,319.2,2025-11-28,2025-12-26,5,5,5,Champions,0
C000059,Direct,West,488,2,951.78,475.89,2024-07-13,2024-08-31,1,5,5,At Risk,1
C000323,Paid Search,South,534,1,943.8,943.8,2024-07-16,2024-07-16,1,4,5,At Risk,1
C009414,Social,North,105,3,934.94,311.65,2024-12-11,2025-09-18,3,5,5,Loyal Customers,1
C002592,Paid Search,East,6,2,926.95,463.48,2025-11-26,2025-12-26,5,5,5,Champions,0
C000099,Affiliate,West,227,2,922.76,461.38,2024-12-19,2025-05-19,2,5,5,At Risk,1
C005104,Direct,Central,235,2,921.98,460.99,2025-01-10,2025-05-11,2,5,5,At Risk,1
C008071,Affiliate,South,56,5,915.09,183.02,2025-04-20,2025-11-06,4,5,5,Champions,0
C006139,Organic Search,West,79,3,911.97,303.99,2025-01-26,2025-10-14,4,5,5,Champions,0
C003065,Email,South,34,4,909.06,227.26,2025-01-19,2025-11-28,5,5,5,Champions,0
C007291,Organic Search,South,221,3,906.3,302.1,2024-05-08,2025-05-25,2,5,5,At Risk,1
C002623,Affiliate,South,370,3,903.89,301.3,2024-06-27,2024-12-27,1,5,5,At Risk,1
C000666,Affiliate,East,36,2,901.11,450.55,2025-02-28,2025-11-26,4,5,5,Champions,0
C005235,Organic Search,East,28,3,898.65,299.55,2025-11-07,2025-12-04,5,5,5,Champions,0
C005873,Paid Search,West,18,2,897.86,448.93,2024-11-08,2025-12-14,5,5,5,Champions,0
C005472,Direct,West,10,3,882.81,294.27,2025-11-28,2025-12-22,5,5,5,Champions,0
C005760,Organic Search,West,317,1,878.84,878.84,2025-02-18,2025-02-18,1,4,5,At Risk,1
C002849,Organic Search,East,4,5,878.68,175.74,2025-08-11,2025-12-28,5,5,5,Champions,0
C005289,Affiliate,South,97,4,869.71,217.43,2025-02-08,2025-09-26,3,5,5,Loyal Customers,1
C009262,Affiliate,West,26,4,869.28,217.32,2024-06-14,2025-12-06,5,5,5,Champions,0
C003917,Paid Search,North,324,1,865.5,865.5,2025-02-11,2025-02-11,1,4,5,At Risk,1
C004130,Email,East,56,3,864.79,288.26,2025-04-19,2025-11-06,4,5,5,Champions,0
C007801,Organic Search,West,27,4,861.88,215.47,2025-04-29,2025-12-05,5,5,5,Champions,0
C008312,Email,South,75,4,860.86,215.22,2025-07-19,2025-10-18,4,5,5,Champions,0
C007150,Email,North,4,4,854.36,213.59,2025-08-09,2025-12-28,5,5,5,Champions,0
C003541,Email,East,94,2,853.97,426.99,2025-09-03,2025-09-29,3,5,5,Loyal Customers,1
C006067,Organic Search,South,18,3,851.32,283.77,2025-11-08,2025-12-14,5,5,5,Champions,0
C002999,Affiliate,North,67,2,850.73,425.37,2025-07-26,2025-10-26,4,5,5,Champions,0
C000284,Affiliate,South,69,3,844.44,281.48,2025-08-13,2025-10-24,4,5,5,Champions,0
C008279,Affiliate,East,102,3,842.86,280.95,2025-08-24,2025-09-21,3,5,5,Loyal Customers,1
C003180,Affiliate,South,50,4,840.41,210.1,2024-08-18,2025-11-12,4,5,5,Champions,0
C005510,Paid Search,North,11,2,837.6,418.8,2025-10-14,2025-12-21,5,5,5,Champions,0
C003472,Email,South,25,3,837.12,279.04,2025-10-07,2025-12-07,5,5,5,Champions,0
C002453,Direct,Central,84,3,836.96,278.99,2024-07-01,2025-10-09,3,5,5,Loyal Customers,0
C006813,Affiliate,South,26,5,836.14,167.23,2025-04-07,2025-12-06,5,5,5,Champions,0
C007915,Email,East,106,4,835.02,208.75,2025-03-11,2025-09-17,3,5,5,Loyal Customers,1
C006154,Organic Search,South,48,4,830.92,207.73,2025-03-09,2025-11-14,4,5,5,Champions,0
C008262,Email,West,37,3,830.14,276.71,2025-10-01,2025-11-25,4,5,5,Champions,0
C006163,Paid Search,South,285,2,828.72,414.36,2025-02-20,2025-03-22,1,5,5,At Risk,1
C009219,Organic Search,West,109,3,825.23,275.08,2025-07-28,2025-09-14,3,5,5,Loyal Customers,1
C005684,Affiliate,North,306,2,822.7,411.35,2025-02-25,2025-03-01,1,5,5,At Risk,1
C004616,Paid Search,South,31,2,820.36,410.18,2025-09-17,2025-12-01,5,5,5,Champions,0
C006004,Affiliate,West,19,3,819.95,273.32,2025-06-12,2025-12-13,5,5,5,Champions,0
C004498,Affiliate,South,334,1,817.74,817.74,2025-02-01,2025-02-01,1,4,5,At Risk,1
C009519,Affiliate,South,208,3,813.75,271.25,2024-03-22,2025-06-07,2,5,5,At Risk,1
C005316,Paid Search,South,61,2,811.8,405.9,2025-06-11,2025-11-01,4,5,5,Champions,0
C002536,Email,North,16,3,810.18,270.06,2025-05-02,2025-12-16,5,5,5,Champions,0
C000114,Direct,North,374,2,809.59,404.8,2024-03-11,2024-12-23,1,5,5,At Risk,1
C008838,Affiliate,East,303,2,807.47,403.74,2024-12-03,2025-03-04,1,5,5,At Risk,1
C003371,Email,East,260,2,806.7,403.35,2025-03-16,2025-04-16,2,5,5,At Risk,1
C005807,Social,East,46,4,806.08,201.52,2025-02-22,2025-11-16,4,5,5,Champions,0
C009540,Email,West,19,4,805.5,201.38,2024-09-24,2025-12-13,5,5,5,Champions,0
C003864,Affiliate,South,210,1,805.34,805.34,2025-06-05,2025-06-05,2,4,5,At Risk,1
C005739,Affiliate,East,137,2,797.37,398.69,2025-08-12,2025-08-17,3,5,5,Loyal Customers,1
C006424,Affiliate,West,56,3,797.17,265.72,2025-05-22,2025-11-06,4,5,5,Champions,0
C009309,Direct,South,1,3,785.38,261.79,2025-10-28,2025-12-31,5,5,5,Champions,0
C006856,Affiliate,South,279,2,785.29,392.64,2025-01-13,2025-03-28,2,5,5,At Risk,1
C009413,Email,South,87,2,783.74,391.87,2025-09-28,2025-10-06,3,5,5,Loyal Customers,0
C002848,Organic Search,West,343,3,782.08,260.69,2024-08-02,2025-01-23,1,5,5,At Risk,1
C008363,Affiliate,South,89,2,782.0,391.0,2025-06-23,2025-10-04,3,5,5,Loyal Customers,0
C005283,Email,West,177,3,776.68,258.89,2025-03-02,2025-07-08,2,5,5,At Risk,1
C005526,Affiliate,East,6,3,774.89,258.3,2025-02-02,2025-12-26,5,5,5,Champions,0
C003897,Email,South,231,1,772.31,772.31,2025-05-15,2025-05-15,2,4,5,At Risk,1
C006696,Email,South,31,3,769.13,256.38,2025-09-22,2025-12-01,5,5,5,Champions,0
C000418,Affiliate,West,393,2,768.64,384.32,2024-10-17,2024-12-04,1,5,5,At Risk,1
C005535,Paid Search,North,137,2,766.52,383.26,2025-07-26,2025-08-17,3,5,5,Loyal Customers,1
C001649,Affiliate,East,83,2,759.26,379.63,2025-07-10,2025-10-10,3,5,5,Loyal Customers,0
C000979,Organic Search,North,265,2,759.08,379.54,2024-07-05,2025-04-11,2,5,5,At Risk,1
C007990,Paid Search,North,11,3,758.61,252.87,2025-06-22,2025-12-21,5,5,5,Champions,0
C003246,Affiliate,North,215,4,755.23,188.81,2025-01-24,2025-05-31,2,5,5,At Risk,1
C000714,Email,East,41,4,748.58,187.15,2024-12-12,2025-11-21,4,5,5,Champions,0
C006307,Affiliate,East,149,2,745.28,372.64,2024-08-01,2025-08-05,3,5,5,Loyal Customers,1
C007947,Paid Search,East,201,1,743.42,743.42,2025-06-14,2025-06-14,2,4,5,At Risk,1
C003724,Affiliate,South,6,2,742.02,371.01,2025-12-20,2025-12-26,5,5,5,Champions,0
C001056,Direct,Central,143,2,739.62,369.81,2025-06-08,2025-08-11,3,5,5,Loyal Customers,1
C006725,Organic Search,South,234,1,738.84,738.84,2025-05-12,2025-05-12,2,4,5,At Risk,1
C008044,Affiliate,South,60,2,735.01,367.5,2025-04-13,2025-11-02,4,5,5,Champions,0
C001467,Email,South,5,5,729.86,145.97,2025-11-24,2025-12-27,5,5,5,Champions,0
C002321,Organic Search,West,34,4,723.44,180.86,2025-07-06,2025-11-28,5,5,5,Champions,0
C009116,Affiliate,North,40,3,720.51,240.17,2025-09-30,2025-11-22,4,5,5,Champions,0
C003680,Social,West,28,2,720.26,360.13,2025-10-21,2025-12-04,5,5,5,Champions,0
C009457,Affiliate,West,125,2,719.62,359.81,2025-07-27,2025-08-29,3,5,5,Loyal Customers,1
C001421,Direct,East,180,4,718.2,179.55,2024-10-07,2025-07-05,2,5,5,At Risk,1
C002993,Email,South,14,3,717.18,239.06,2025-11-28,2025-12-18,5,5,5,Champions,0
C003984,Organic Search,South,51,4,712.93,178.23,2024-08-31,2025-11-11,4,5,5,Champions,0
C009117,Organic Search,West,215,1,712.0,712.0,2025-05-31,2025-05-31,2,4,5,At Risk,1
C009719,Social,North,3,4,708.29,177.07,2025-04-26,2025-12-29,5,5,5,Champions,0
C008572,Affiliate,North,206,2,707.26,353.63,2024-09-19,2025-06-09,2,5,5,At Risk,1
C000790,Affiliate,North,7,2,706.89,353.44,2025-08-11,2025-12-25,5,5,5,Champions,0
C007842,Direct,South,16,2,704.51,352.25,2025-08-07,2025-12-16,5,5,5,Champions,0
C004431,Paid Search,South,64,4,703.76,175.94,2024-08-07,2025-10-29,4,5,5,Champions,0
C008777,Organic Search,South,1,2,703.41,351.71,2025-12-29,2025-12-31,5,5,5,Champions,0
C004335,Affiliate,North,4,3,703.22,234.41,2025-10-01,2025-12-28,5,5,5,Champions,0
C004514,Affiliate,West,94,4,702.31,175.58,2025-08-09,2025-09-29,3,5,5,Loyal Customers,1
C003516,Email,East,157,3,699.2,233.07,2025-01-05,2025-07-28,3,5,5,Loyal Customers,1
C008197,Paid Search,Central,34,1,697.34,697.34,2025-11-28,2025-11-28,5,4,5,Champions,0
C006728,Direct,South,23,3,694.39,231.46,2025-11-11,2025-12-09,5,5,5,Champions,0
C007212,Affiliate,West,81,2,691.92,345.96,2025-10-11,2025-10-12,4,5,5,Champions,0
C007455,Organic Search,North,88,1,690.23,690.23,2025-10-05,2025-10-05,3,4,5,Loyal Customers,0
C009557,Organic Search,South,91,4,688.61,172.15,2024-12-13,2025-10-02,3,5,5,Loyal Customers,1
C007763,Affiliate,South,32,2,688.53,344.26,2025-10-28,2025-11-30,5,5,5,Champions,0
C007946,Paid Search,South,645,2,684.39,342.19,2024-01-20,2024-03-27,1,5,5,At Risk,1
C000776,Affiliate,North,266,3,683.57,227.86,2025-03-25,2025-04-10,2,5,5,At Risk,1
C000029,Email,West,122,1,682.79,682.79,2025-09-01,2025-09-01,3,4,5,Loyal Customers,1
C003198,Organic Search,West,16,3,682.54,227.51,2025-06-07,2025-12-16,5,5,5,Champions,0
C002247,Organic Search,South,5,2,681.84,340.92,2025-09-18,2025-12-27,5,5,5,Champions,0
C005860,Organic Search,South,10,5,677.11,135.42,2025-03-31,2025-12-22,5,5,5,Champions,0
C006326,Affiliate,West,5,3,675.63,225.21,2025-08-23,2025-12-27,5,5,5,Champions,0
C003424,Paid Search,South,51,4,674.22,168.56,2024-04-16,2025-11-11,4,5,5,Champions,0
C008913,Email,Central,46,3,672.8,224.27,2025-03-27,2025-11-16,4,5,5,Champions,0
C000742,Social,West,57,4,672.76,168.19,2024-09-19,2025-11-05,4,5,5,Champions,0
C003169,Affiliate,West,24,2,672.54,336.27,2025-11-21,2025-12-08,5,5,5,Champions,0
C000927,Affiliate,West,13,3,672.22,224.07,2025-04-05,2025-12-19,5,5,5,Champions,0
C008781,Email,North,29,4,669.96,167.49,2025-05-04,2025-12-03,5,5,5,Champions,0
C004120,Paid Search,South,121,3,669.67,223.22,2025-01-01,2025-09-02,3,5,5,Loyal Customers,1
C004157,Email,East,195,4,669.54,167.38,2024-10-06,2025-06-20,2,5,5,At Risk,1
C000677,Affiliate,East,144,3,669.33,223.11,2024-08-16,2025-08-10,3,5,5,Loyal Customers,1
C005096,Organic Search,North,163,3,667.64,222.55,2024-12-17,2025-07-22,2,5,5,At Risk,1
C003906,Affiliate,Central,572,1,665.66,665.66,2024-06-08,2024-06-08,1,4,5,At Risk,1
C003435,Affiliate,West,249,2,665.43,332.71,2025-01-05,2025-04-27,2,5,5,At Risk,1
C002229,Direct,West,268,2,663.89,331.94,2024-08-23,2025-04-08,2,5,5,At Risk,1
C008966,Email,West,2,2,662.47,331.24,2025-11-04,2025-12-30,5,5,5,Champions,0
C005035,Email,Central,223,2,661.53,330.76,2025-05-02,2025-05-23,2,5,5,At Risk,1
C009892,Email,South,36,4,660.46,165.12,2025-01-31,2025-11-26,4,5,5,Champions,0
C006349,Paid Search,South,119,3,659.8,219.93,2025-04-14,2025-09-04,3,5,5,Loyal Customers,1
C002509,Affiliate,North,80,1,658.98,658.98,2025-10-13,2025-10-13,4,4,5,Champions,0
C001973,Direct,East,53,2,657.05,328.53,2025-01-22,2025-11-09,4,5,5,Champions,0
C008322,Organic Search,North,298,1,654.02,654.02,2025-03-09,2025-03-09,1,4,5,At Risk,1
C003719,Organic Search,East,28,1,652.38,652.38,2025-12-04,2025-12-04,5,4,5,Champions,0
C009239,Email,West,32,3,652.27,217.42,2025-06-19,2025-11-30,5,5,5,Champions,0
C001232,Affiliate,North,165,2,651.52,325.76,2024-10-25,2025-07-20,2,5,5,At Risk,1
C001908,Direct,West,93,4,650.55,162.64,2025-07-16,2025-09-30,3,5,5,Loyal Customers,1
C005061,Affiliate,West,18,1,649.42,649.42,2025-12-14,2025-12-14,5,4,5,Champions,0
C009155,Paid Search,South,16,2,644.91,322.45,2025-10-12,2025-12-16,5,5,5,Champions,0
C001906,Organic Search,South,240,2,643.65,321.82,2024-12-02,2025-05-06,2,5,5,At Risk,1
C003829,Email,East,38,3,643.4,214.47,2024-09-05,2025-11-24,4,5,5,Champions,0
C005788,Paid Search,West,73,2,643.02,321.51,2025-06-15,2025-10-20,4,5,5,Champions,0
C005998,Affiliate,West,1,2,642.88,321.44,2025-10-02,2025-12-31,5,5,5,Champions,0
C001082,Email,East,46,3,642.26,214.09,2025-10-17,2025-11-16,4,5,5,Champions,0
C005743,Organic Search,West,381,2,641.49,320.75,2024-07-16,2024-12-16,1,5,5,At Risk,1
C002946,Affiliate,South,360,2,638.83,319.41,2024-07-24,2025-01-06,1,5,5,At Risk,1
C009942,Social,South,80,3,638.59,212.86,2025-07-21,2025-10-13,4,5,5,Champions,0
C000906,Organic Search,Central,70,5,637.89,127.58,2025-07-12,2025-10-23,4,5,5,Champions,0
C003419,Affiliate,West,174,2,637.83,318.92,2025-07-05,2025-07-11,2,5,5,At Risk,1
C008610,Email,West,26,3,636.86,212.29,2025-10-28,2025-12-06,5,5,5,Champions,0
C001677,Affiliate,East,16,2,634.75,317.38,2025-10-05,2025-12-16,5,5,5,Champions,0
C007716,Social,West,428,1,632.29,632.29,2024-10-30,2024-10-30,1,4,5,At Risk,1
C006779,Email,South,380,3,632.2,210.73,2024-11-13,2024-12-17,1,5,5,At Risk,1
C000279,Direct,East,10,3,631.63,210.54,2025-11-30,2025-12-22,5,5,5,Champions,0
C002494,Organic Search,East,187,2,631.46,315.73,2024-08-31,2025-06-28,2,5,5,At Risk,1
C003653,Affiliate,South,83,2,631.38,315.69,2025-09-21,2025-10-10,3,5,5,Loyal Customers,0
C003730,Email,East,90,3,630.22,210.07,2024-11-10,2025-10-03,3,5,5,Loyal Customers,0
C007287,Email,West,241,4,629.45,157.36,2024-11-10,2025-05-05,2,5,5,At Risk,1
C004162,Affiliate,South,57,2,626.34,313.17,2025-09-26,2025-11-05,4,5,5,Champions,0
C007339,Organic Search,West,140,1,625.85,625.85,2025-08-14,2025-08-14,3,4,5,Loyal Customers,1
C003285,Affiliate,West,118,2,625.42,312.71,2024-03-09,2025-09-05,3,5,5,Loyal Customers,1
C006018,Affiliate,North,3,3,624.68,208.23,2025-09-05,2025-12-29,5,5,5,Champions,0
C002112,Email,North,107,3,624.32,208.11,2025-07-20,2025-09-16,3,5,5,Loyal Customers,1
C002030,Affiliate,North,27,4,622.9,155.72,2025-11-16,2025-12-05,5,5,5,Champions,0
C007100,Organic Search,West,105,1,621.94,621.94,2025-09-18,2025-09-18,3,4,5,Loyal Customers,1
C002220,Paid Search,South,477,1,619.86,619.86,2024-09-11,2024-09-11,1,4,5,At Risk,1
C000616,Email,East,306,4,619.7,154.93,2024-05-22,2025-03-01,1,5,5,At Risk,1
C008256,Email,West,14,2,619.12,309.56,2025-07-30,2025-12-18,5,5,5,Champions,0
C002701,Affiliate,East,351,2,617.88,308.94,2024-09-27,2025-01-15,1,5,5,At Risk,1
C007812,Email,North,6,2,617.58,308.79,2025-12-01,2025-12-26,5,5,5,Champions,0
C006950,Affiliate,East,361,2,616.22,308.11,2024-12-18,2025-01-05,1,5,5,At Risk,1
C002514,Paid Search,West,271,4,615.89,153.97,2024-06-17,2025-04-05,2,5,5,At Risk,1
C009925,Direct,West,40,4,615.87,153.97,2025-10-22,2025-11-22,4,5,5,Champions,0
C007181,Direct,South,29,4,614.26,153.56,2025-08-09,2025-12-03,5,5,5,Champions,0
C008039,Organic Search,West,522,1,613.52,613.52,2024-07-28,2024-07-28,1,4,5,At Risk,1
C007607,Organic Search,West,92,4,612.1,153.03,2024-12-10,2025-10-01,3,5,5,Loyal Customers,1
C009415,Affiliate,East,19,5,610.64,122.13,2025-01-21,2025-12-13,5,5,5,Champions,0
C004385,Organic Search,North,11,2,609.53,304.76,2025-03-14,2025-12-21,5,5,5,Champions,0
C000576,Paid Search,South,67,2,608.26,304.13,2025-10-21,2025-10-26,4,5,5,Champions,0
C008342,Organic Search,North,8,1,607.85,607.85,2025-12-24,2025-12-24,5,4,5,Champions,0
C004497,Organic Search,South,247,1,605.27,605.27,2025-04-29,2025-04-29,2,4,5,At Risk,1
C005451,Affiliate,West,5,3,604.72,201.57,2025-11-27,2025-12-27,5,5,5,Champions,0
C006808,Paid Search,North,48,5,603.49,120.7,2025-07-04,2025-11-14,4,5,5,Champions,0
C008991,Email,East,23,3,603.01,201.0,2025-07-23,2025-12-09,5,5,5,Champions,0
C004141,Email,South,31,2,602.82,301.41,2025-11-09,2025-12-01,5,5,5,Champions,0
C008987,Affiliate,South,500,3,601.91,200.64,2024-06-22,2024-08-19,1,5,5,At Risk,1
C002014,Social,South,130,3,601.11,200.37,2025-07-27,2025-08-24,3,5,5,Loyal Customers,1
C004965,Organic Search,South,19,1,600.32,600.32,2025-12-13,2025-12-13,5,4,5,Champions,0
C000567,Email,East,9,2,600.16,300.08,2025-08-27,2025-12-23,5,5,5,Champions,0
C007169,Direct,North,26,1,600.04,600.04,2025-12-06,2025-12-06,5,4,5,Champions,0
C002889,Affiliate,West,297,2,599.82,299.91,2024-11-26,2025-03-10,1,5,5,At Risk,1
C007130,Affiliate,South,28,2,599.58,299.79,2025-07-16,2025-12-04,5,5,5,Champions,0
C004942,Email,West,148,2,598.38,299.19,2025-06-11,2025-08-06,3,5,5,Loyal Customers,1
C003473,Affiliate,North,354,1,597.2,597.2,2025-01-12,2025-01-12,1,4,5,At Risk,1
C007644,Direct,East,3,2,596.86,298.43,2025-10-18,2025-12-29,5,5,5,Champions,0
C007889,Affiliate,East,131,2,594.72,297.36,2024-02-15,2025-08-23,3,5,5,Loyal Customers,1
C009934,Affiliate,West,67,4,593.86,148.47,2025-07-22,2025-10-26,4,5,5,Champions,0
C000758,Organic Search,East,54,2,592.49,296.25,2025-04-18,2025-11-08,4,5,5,Champions,0
C004572,Email,East,70,4,592.04,148.01,2024-07-14,2025-10-23,4,5,5,Champions,0
C008534,Email,East,15,5,591.79,118.36,2025-09-13,2025-12-17,5,5,5,Champions,0
C000555,Email,West,86,2,591.64,295.82,2025-07-19,2025-10-07,3,5,5,Loyal Customers,0
C003702,Email,South,101,3,589.77,196.59,2024-06-10,2025-09-22,3,5,5,Loyal Customers,1
C009780,Paid Search,West,176,2,587.33,293.66,2025-02-04,2025-07-09,2,5,5,At Risk,1
C009331,Organic Search,Central,198,1,584.09,584.09,2025-06-17,2025-06-17,2,4,5,At Risk,1
C007106,Affiliate,West,395,3,583.07,194.36,2024-09-08,2024-12-02,1,5,5,At Risk,1
C003515,Paid Search,East,142,3,581.47,193.82,2024-08-14,2025-08-12,3,5,5,Loyal Customers,1
C002146,Direct,East,35,2,581.39,290.69,2025-11-04,2025-11-27,4,5,5,Champions,0
C009747,Organic Search,Central,3,3,581.09,193.7,2025-12-12,2025-12-29,5,5,5,Champions,0
C006468,Affiliate,East,56,2,581.08,290.54,2025-05-07,2025-11-06,4,5,5,Champions,0
C008321,Social,West,467,2,581.01,290.5,2024-08-18,2024-09-21,1,5,5,At Risk,1
C002287,Social,East,448,1,580.85,580.85,2024-10-10,2024-10-10,1,4,5,At Risk,1
C007245,Affiliate,South,27,2,580.83,290.42,2025-11-21,2025-12-05,5,5,5,Champions,0
C002502,Direct,East,40,3,580.69,193.56,2025-01-14,2025-11-22,4,5,5,Champions,0
C009298,Affiliate,East,36,4,580.66,145.16,2025-10-27,2025-11-26,4,5,5,Champions,0
C006253,Affiliate,South,111,2,580.58,290.29,2025-08-28,2025-09-12,3,5,5,Loyal Customers,1
C007625,Organic Search,South,24,4,578.25,144.56,2025-11-16,2025-12-08,5,5,5,Champions,0
C004858,Email,Central,11,3,578.15,192.72,2025-12-08,2025-12-21,5,5,5,Champions,0
C005245,Email,South,48,4,578.12,144.53,2025-09-05,2025-11-14,4,5,5,Champions,0
C002763,Direct,West,54,1,577.08,577.08,2025-11-08,2025-11-08,4,4,5,Champions,0
C007302,Organic Search,Central,7,1,576.37,576.37,2025-12-25,2025-12-25,5,4,5,Champions,0
C008893,Paid Search,East,62,2,575.8,287.9,2025-10-27,2025-10-31,4,5,5,Champions,0
C000253,Direct,South,82,5,575.7,115.14,2025-02-03,2025-10-11,3,5,5,Loyal Customers,0
C001001,Email,West,276,3,575.35,191.78,2024-07-06,2025-03-31,2,5,5,At Risk,1
C008537,Organic Search,West,417,2,575.27,287.63,2024-11-04,2024-11-10,1,5,5,At Risk,1
C005109,Email,North,144,2,573.36,286.68,2025-01-12,2025-08-10,3,5,5,Loyal Customers,1
C005200,Email,North,257,2,571.4,285.7,2024-10-14,2025-04-19,2,5,5,At Risk,1
C002024,Affiliate,South,34,2,571.12,285.56,2025-09-26,2025-11-28,5,5,5,Champions,0
C002721,Email,North,24,5,570.75,114.15,2025-10-10,2025-12-08,5,5,5,Champions,0
C007722,Email,East,18,1,570.61,570.61,2025-12-14,2025-12-14,5,4,5,Champions,0
C004530,Email,North,33,3,570.16,190.05,2025-08-03,2025-11-29,5,5,5,Champions,0
C005828,Affiliate,South,15,4,569.86,142.47,2025-10-13,2025-12-17,5,5,5,Champions,0
C007116,Organic Search,East,5,3,569.74,189.91,2025-12-08,2025-12-27,5,5,5,Champions,0
C007432,Affiliate,Central,64,2,569.39,284.69,2024-12-02,2025-10-29,4,5,5,Champions,0
C002065,Direct,South,46,2,569.33,284.66,2025-05-01,2025-11-16,4,5,5,Champions,0
C003220,Organic Search,South,177,3,568.15,189.38,2024-08-10,2025-07-08,2,5,5,At Risk,1
C001136,Email,South,22,3,566.83,188.94,2025-08-30,2025-12-10,5,5,5,Champions,0
C004361,Affiliate,South,24,3,566.3,188.77,2024-06-08,2025-12-08,5,5,5,Champions,0
C003120,Email,South,20,3,566.24,188.75,2025-05-04,2025-12-12,5,5,5,Champions,0
C003170,Affiliate,North,50,2,566.23,283.12,2025-09-24,2025-11-12,4,5,5,Champions,0
C003176,Organic Search,West,87,3,566.13,188.71,2024-10-08,2025-10-06,3,5,5,Loyal Customers,0
C007375,Paid Search,North,29,2,565.67,282.84,2025-08-23,2025-12-03,5,5,5,Champions,0
C001552,Social,South,13,4,564.59,141.15,2024-11-16,2025-12-19,5,5,5,Champions,0
C003030,Email,South,56,2,563.22,281.61,2024-11-17,2025-11-06,4,5,5,Champions,0
C009543,Paid Search,South,4,4,562.05,140.51,2025-11-24,2025-12-28,5,5,5,Champions,0
C005105,Email,North,1,3,561.86,187.29,2025-11-24,2025-12-31,5,5,5,Champions,0
